reformulation,retriever,dataset_name,elapsed_time,map,recip_rank,RR(rel=2),RR@10,RR@100,nDCG@10,nDCG@100,P@10,P@100,P@1000,R@50,R@1000,AP(rel=2),path,mean_minilm_similarity,std_minilm_similarity,mean_bert_similarity,std_bert_similarity,mean_jaccard_similarity,std_jaccard_similarity,mean_tfidfcosine_similarity,std_tfidfcosine_similarity,mean_szymkiewicz_similarity,std_szymkiewicz_similarity,date
vikcmp_e10,BM25%100>>MonoT5,irds:beir/scifact/test,442.4449231624603,0.06743313758118008,0.06946872522049113,0.0,0.06421296296296296,0.06946872522049113,0.07639503113791872,0.1054305647496948,0.01333333333333334,0.0028000000000000017,0.0002800000000000002,0.21444444444444447,0.2627777777777778,0.0,2024-10-30--15-39-40--PuqUY_reformulators,0.1634790152311325,0.14452475309371948,0.4065741002559662,0.1279703676700592,0.0560931431886384,0.06093126614887938,0.054655425296204235,0.05780552795594383,0.11223833682657212,0.11550748197387219,2024-10-30 15:39:40
vikcmp_e10,BM25,irds:beir/scifact/test,442.4449231624603,0.07308217966706491,0.07348205835495114,0.0,0.06722619047619048,0.07264768798418227,0.08039402448572579,0.10919402417041478,0.01333333333333334,0.0028000000000000017,0.0005333333333333337,0.2111111111111111,0.4748888888888889,0.0,2024-10-30--15-39-40--PuqUY_reformulators,0.1634790152311325,0.14452475309371948,0.4065741002559662,0.1279703676700592,0.0560931431886384,0.06093126614887938,0.054655425296204235,0.05780552795594383,0.11223833682657212,0.11550748197387219,2024-10-30 15:39:40
vikcmp_e10,BM25%100,irds:beir/scifact/test,442.4449231624603,0.07222224530082148,0.07264810413066582,0.0,0.06722619047619048,0.07264768798418227,0.08039402448572579,0.10919402417041478,0.01333333333333334,0.0028000000000000017,0.0002800000000000002,0.2111111111111111,0.2627777777777778,0.0,2024-10-30--15-39-40--PuqUY_reformulators,0.1634790152311325,0.14452475309371948,0.4065741002559662,0.1279703676700592,0.0560931431886384,0.06093126614887938,0.054655425296204235,0.05780552795594383,0.11223833682657212,0.11550748197387219,2024-10-30 15:39:40
vikcmp_e10,DPH,irds:beir/scifact/test,442.4449231624603,0.07268415983683858,0.07319004899505067,0.0,0.06677777777777777,0.07235322506061209,0.08027775573559741,0.10904588818011035,0.01366666666666667,0.0028000000000000017,0.0005333333333333337,0.22444444444444442,0.4748888888888889,0.0,2024-10-30--15-39-40--PuqUY_reformulators,0.1634790152311325,0.14452475309371948,0.4065741002559662,0.1279703676700592,0.0560931431886384,0.06093126614887938,0.054655425296204235,0.05780552795594383,0.11223833682657212,0.11550748197387219,2024-10-30 15:39:40
vikcmp_e10,DPH%100,irds:beir/scifact/test,442.4449231624603,0.0718122441033938,0.0723531391651222,0.0,0.06677777777777777,0.07235322506061209,0.08027775573559741,0.10904588818011035,0.01366666666666667,0.0028000000000000017,0.0002800000000000002,0.22444444444444442,0.2627777777777778,0.0,2024-10-30--15-39-40--PuqUY_reformulators,0.1634790152311325,0.14452475309371948,0.4065741002559662,0.1279703676700592,0.0560931431886384,0.06093126614887938,0.054655425296204235,0.05780552795594383,0.11223833682657212,0.11550748197387219,2024-10-30 15:39:40
vikm_e10,DPH,irds:beir/scifact/test,437.3274550437927,0.04808131367410564,0.04943024902434234,0.0,0.043615079365079364,0.048713482933777134,0.058099826594530724,0.0877088816274499,0.012000000000000005,0.0028666666666666684,0.0005100000000000004,0.2111111111111111,0.456111111111111,0.0,2024-10-30--15-32-22--5vxPm_reformulators,0.14950652420520782,0.13596157729625702,0.3990287482738495,0.12277575582265854,0.050316048822134744,0.061322914489396106,0.0561290557816461,0.05343572735020577,0.10018274568855064,0.11419951420397484,2024-10-30 15:32:22
vikm_e10,DPH%100,irds:beir/scifact/test,437.3274550437927,0.04736340235049577,0.048705801073154094,0.0,0.043615079365079364,0.048713482933777134,0.058099826594530724,0.0877088816274499,0.012000000000000005,0.0028666666666666684,0.0002866666666666669,0.2111111111111111,0.2519444444444444,0.0,2024-10-30--15-32-22--5vxPm_reformulators,0.14950652420520782,0.13596157729625702,0.3990287482738495,0.12277575582265854,0.050316048822134744,0.061322914489396106,0.0561290557816461,0.05343572735020577,0.10018274568855064,0.11419951420397484,2024-10-30 15:32:22
vikm_e10,BM25%100,irds:beir/scifact/test,437.3274550437927,0.05007799392053743,0.05047398379464887,0.0,0.04548412698412699,0.05048411626869112,0.06106838510796366,0.09057690116148369,0.012333333333333339,0.002900000000000002,0.0002900000000000002,0.22194444444444447,0.25527777777777777,0.0,2024-10-30--15-32-22--5vxPm_reformulators,0.14950652420520782,0.13596157729625702,0.3990287482738495,0.12277575582265854,0.050316048822134744,0.061322914489396106,0.0561290557816461,0.05343572735020577,0.10018274568855064,0.11419951420397484,2024-10-30 15:32:22
vikm_e10,BM25,irds:beir/scifact/test,437.3274550437927,0.050781452519892176,0.051186180047138694,0.0,0.04548412698412699,0.05048411626869112,0.06106838510796366,0.09057690116148369,0.012333333333333339,0.002900000000000002,0.0005133333333333337,0.22194444444444447,0.4572222222222223,0.0,2024-10-30--15-32-22--5vxPm_reformulators,0.14950652420520782,0.13596157729625702,0.3990287482738495,0.12277575582265854,0.050316048822134744,0.061322914489396106,0.0561290557816461,0.05343572735020577,0.10018274568855064,0.11419951420397484,2024-10-30 15:32:22
vikm_e10,BM25%100>>MonoT5,irds:beir/scifact/test,437.3274550437927,0.05511440501647988,0.0554985946377856,0.0,0.048824074074074075,0.0554985946377856,0.05950769173050009,0.0937781157754625,0.010333333333333337,0.002900000000000002,0.0002900000000000002,0.20666666666666667,0.25527777777777777,0.0,2024-10-30--15-32-22--5vxPm_reformulators,0.14950652420520782,0.13596157729625702,0.3990287482738495,0.12277575582265854,0.050316048822134744,0.061322914489396106,0.0561290557816461,0.05343572735020577,0.10018274568855064,0.11419951420397484,2024-10-30 15:32:22
